NodeId,Time,Size
13,97.263168,1
7,97.621144,2
18,98.82709,0
18,98.150276,1
0,98.198359,2
0,99.61833,1
9,99.84030,1
15,99.118867,0
18,99.257561,0
7,99.371144,3
1,99.505858,1
1,99.753191,0
13,99.850964,2
3,99.897561,1
13,100.1902,1
9,100.202807,2
12,100.389404,0
7,100.621144,2
13,100.780901,0
13,100.880901,1
8,100.881200,2
0,101.188604,0
5,102.488562,0
12,102.627732,1
7,102.691450,3
8,103.661321,1
6,104.206073,0
7,104.661321,2
7,104.661321,1
8,104.714083,0
6,105.359589,1
11,105.373442,1
13,105.600964,2
14,105.836657,0
3,105.836658,0
9,105.842877,1
7,105.849524,0
14,105.940657,1
9,107.8219,0
13,107.251901,1
1,111.361549,1
13,111.871575,2
3,112.25823,1
3,112.31034,0
11,112.884811,0
12,112.897324,0
10,113.423792,2
4,115.441656,1
13,116.18337,1
11,118.557279,1
14,118.627810,0
13,119.377596,2
7,120.57412,1
7,120.563429,2
13,121.275241,1
6,121.722002,0
11,122.298898,2
13,122.378753,0
10,122.469348,1
10,122.469348,0
11,122.477333,1
9,122.576682,1
17,122.609448,1
9,123.179283,2
12,123.181347,1
10,123.185238,1
7,123.206912,1
10,123.240057,2
1,123.282934,0
10,123.581682,1
4,123.587158,0
7,123.930965,2
15,123.941555,1
9,124.81786,3
7,124.930965,1
4,125.581502,1
7,125.799184,2
4,125.980086,2
4,125.980086,1
14,126.67088,1
11,126.298898,2
12,126.391755,2
14,127.90566,2
12,127.391755,1
10,127.914042,2
7,127.943758,3
11,127.973154,1
7,128.37837,2
17,128.40094,0
9,128.77339,4
7,128.186823,3
15,129.132334,0
10,129.174768,3
10,129.314979,2
19,129.429735,1
10,129.564980,1
9,131.82880,3
4,131.362358,2
10,131.414042,2
10,131.564979,1
9,132.79681,4
4,132.82061,3
9,132.200486,3
7,133.83759,2
14,133.247153,1
19,133.847475,0
10,134.202921,0
4,135.27644,2
9,135.33780,2
9,135.133780,3
1,135.288580,1
4,135.356811,3
9,136.133780,2
9,136.257741,3
11,136.548898,2
11,137.701511,1
8,137.787643,1
4,138.148548,2
11,138.701511,0
1,139.80643,0
9,139.496350,2
7,139.710768,1
11,139.798898,1
3,139.923429,1
